"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.539e-10,3.539e-10,1,0,0,0.5,0.25
3.1427e-10,3.1427e-10,1,0.004,0.004,0.5,0.25
2.7464e-10,2.7464e-10,1,0.008,0.008,0.5,0.25
2.35e-10,2.35e-10,1,0.012,0.012,0.5,0.25
1.9537e-10,1.9537e-10,1,0.016,0.016,0.5,0.25
1.5573e-10,1.5573e-10,1,0.02,0.02,0.5,0.25
1.161e-10,1.161e-10,1,0.024,0.024,0.5,0.25
7.6465e-11,7.6465e-11,1,0.028,0.028,0.5,0.25
3.6831e-11,3.6831e-11,1,0.032,0.032,0.5,0.25
-2.8029e-12,-2.8029e-12,1,0.036,0.036,0.5,0.25
-4.2437e-11,-4.2437e-11,1,0.04,0.04,0.5,0.25
-8.2071e-11,-8.2071e-11,1,0.044,0.044,0.5,0.25
-1.2171e-10,-1.2171e-10,1,0.048,0.048,0.5,0.25
-1.6134e-10,-1.6134e-10,1,0.052,0.052,0.5,0.25
-2.0097e-10,-2.0097e-10,1,0.056,0.056,0.5,0.25
-2.4061e-10,-2.4061e-10,1,0.06,0.06,0.5,0.25
-2.8024e-10,-2.8024e-10,1,0.064,0.064,0.5,0.25
-3.1988e-10,-3.1988e-10,1,0.068,0.068,0.5,0.25
-3.5951e-10,-3.5951e-10,1,0.072,0.072,0.5,0.25
-3.9914e-10,-3.9914e-10,1,0.076,0.076,0.5,0.25
-4.3878e-10,-4.3878e-10,1,0.08,0.08,0.5,0.25
-4.7841e-10,-4.7841e-10,1,0.084,0.084,0.5,0.25
-4.9377e-10,-4.9377e-10,1,0.088,0.088,0.5,0.25
-5.3163e-10,-5.3163e-10,1,0.092,0.092,0.5,0.25
-5.6949e-10,-5.6949e-10,1,0.096,0.096,0.5,0.25
-6.0736e-10,-6.0736e-10,1,0.1,0.1,0.5,0.25
-6.4522e-10,-6.4522e-10,1,0.104,0.104,0.5,0.25
-6.8308e-10,-6.8308e-10,1,0.108,0.108,0.5,0.25
-7.2094e-10,-7.2094e-10,1,0.112,0.112,0.5,0.25
-7.588e-10,-7.588e-10,1,0.116,0.116,0.5,0.25
-7.9666e-10,-7.9666e-10,1,0.12,0.12,0.5,0.25
-8.3453e-10,-8.3453e-10,1,0.124,0.124,0.5,0.25
-1.1259e-09,-1.1259e-09,1,0.128,0.128,0.5,0.25
-1.182e-09,-1.182e-09,1,0.132,0.132,0.5,0.25
-1.2381e-09,-1.2381e-09,1,0.136,0.136,0.5,0.25
-1.2942e-09,-1.2942e-09,1,0.14,0.14,0.5,0.25
-1.3503e-09,-1.3503e-09,1,0.144,0.144,0.5,0.25
-1.4064e-09,-1.4064e-09,1,0.148,0.148,0.5,0.25
-1.4625e-09,-1.4625e-09,1,0.152,0.152,0.5,0.25
-1.5186e-09,-1.5186e-09,1,0.156,0.156,0.5,0.25
-1.5747e-09,-1.5747e-09,1,0.16,0.16,0.5,0.25
-1.6308e-09,-1.6308e-09,1,0.164,0.164,0.5,0.25
-1.6869e-09,-1.6869e-09,1,0.168,0.168,0.5,0.25
-2.8635e-09,-2.8635e-09,1,0.172,0.172,0.5,0.25
-2.9124e-09,-2.9124e-09,1,0.176,0.176,0.5,0.25
-2.9613e-09,-2.9613e-09,1,0.18,0.18,0.5,0.25
-3.0102e-09,-3.0102e-09,1,0.184,0.184,0.5,0.25
-3.0591e-09,-3.0591e-09,1,0.188,0.188,0.5,0.25
-3.108e-09,-3.108e-09,1,0.192,0.192,0.5,0.25
-3.1569e-09,-3.1569e-09,1,0.196,0.196,0.5,0.25
-5.3118e-09,-5.3118e-09,1,0.2,0.2,0.5,0.25
-5.0881e-09,-5.0881e-09,1,0.204,0.204,0.5,0.25
-4.8645e-09,-4.8645e-09,1,0.208,0.208,0.5,0.25
-4.6408e-09,-4.6408e-09,1,0.212,0.212,0.5,0.25
7.3583e-09,7.3583e-09,1,0.216,0.216,0.5,0.25
8.3901e-09,8.3901e-09,1,0.22,0.22,0.5,0.25
9.4218e-09,9.4218e-09,1,0.224,0.224,0.5,0.25
1.0454e-08,1.0454e-08,1,0.228,0.228,0.5,0.25
1.1485e-08,1.1485e-08,1,0.232,0.232,0.5,0.25
5.3659e-07,5.3659e-07,1,0.236,0.236,0.5,0.25
5.1235e-07,5.1235e-07,1,0.24,0.24,0.5,0.25
4.881e-07,4.881e-07,1,0.244,0.244,0.5,0.25
4.6385e-07,4.6385e-07,1,0.248,0.248,0.5,0.25
4.396e-07,4.396e-07,1,0.252,0.252,0.5,0.25
4.1536e-07,4.1536e-07,1,0.256,0.256,0.5,0.25
3.9111e-07,3.9111e-07,1,0.26,0.26,0.5,0.25
3.6686e-07,3.6686e-07,1,0.264,0.264,0.5,0.25
3.4261e-07,3.4261e-07,1,0.268,0.268,0.5,0.25
3.1837e-07,3.1837e-07,1,0.272,0.272,0.5,0.25
2.9412e-07,2.9412e-07,1,0.276,0.276,0.5,0.25
2.6987e-07,2.6987e-07,1,0.28,0.28,0.5,0.25
2.4562e-07,2.4562e-07,1,0.284,0.284,0.5,0.25
2.2138e-07,2.2138e-07,1,0.288,0.288,0.5,0.25
2.9338e-06,2.9338e-06,1,0.292,0.292,0.5,0.25
2.6782e-06,2.6782e-06,1,0.296,0.296,0.5,0.25
2.4226e-06,2.4226e-06,1,0.3,0.3,0.5,0.25
2.167e-06,2.167e-06,1,0.304,0.304,0.5,0.25
1.9114e-06,1.9114e-06,1,0.308,0.308,0.5,0.25
1.6558e-06,1.6558e-06,1,0.312,0.312,0.5,0.25
1.4001e-06,1.4002e-06,1,0.316,0.316,0.5,0.25
1.1446e-06,1.1446e-06,1,0.32,0.32,0.5,0.25
8.8898e-07,8.8898e-07,1,0.324,0.324,0.5,0.25
6.3339e-07,6.3339e-07,1,0.328,0.328,0.5,0.25
3.7781e-07,3.7781e-07,1,0.332,0.332,0.5,0.25
1.2222e-07,1.2222e-07,1,0.336,0.336,0.5,0.25
-1.3336e-07,-1.3336e-07,1,0.34,0.34,0.5,0.25
-3.8896e-07,-3.8895e-07,1,0.344,0.344,0.5,0.25
-6.4453e-07,-6.4452e-07,1,0.348,0.348,0.5,0.25
-9.0012e-07,-9.0012e-07,1,0.352,0.352,0.5,0.25
-1.1557e-06,-1.1557e-06,1,0.356,0.356,0.5,0.25
-1.4113e-06,-1.4113e-06,1,0.36,0.36,0.5,0.25
-1.6669e-06,-1.6669e-06,1,0.364,0.364,0.5,0.25
-1.9225e-06,-1.9225e-06,1,0.368,0.368,0.5,0.25
-2.1781e-06,-2.1781e-06,1,0.372,0.372,0.5,0.25
2.4792e-06,2.4792e-06,1,0.376,0.376,0.5,0.25
9.0837e-07,9.0837e-07,1,0.38,0.38,0.5,0.25
-6.625e-07,-6.625e-07,1,0.384,0.384,0.5,0.25
-2.2334e-06,-2.2334e-06,1,0.388,0.388,0.5,0.25
-3.8042e-06,-3.8042e-06,1,0.392,0.392,0.5,0.25
-5.3753e-06,-5.3753e-06,1,0.396,0.396,0.5,0.25
-6.9462e-06,-6.9462e-06,1,0.4,0.4,0.5,0.25
-8.517e-06,-8.517e-06,1,0.404,0.404,0.5,0.25
-1.0088e-05,-1.0088e-05,1,0.408,0.408,0.5,0.25
-1.1659e-05,-1.1659e-05,1,0.412,0.412,0.5,0.25
-1.3229e-05,-1.3229e-05,1,0.416,0.416,0.5,0.25
-1.48e-05,-1.48e-05,1,0.42,0.42,0.5,0.25
-1.6371e-05,-1.6371e-05,1,0.424,0.424,0.5,0.25
-1.7942e-05,-1.7942e-05,1,0.428,0.428,0.5,0.25
-1.9513e-05,-1.9513e-05,1,0.432,0.432,0.5,0.25
-2.5288e-05,-2.5288e-05,1,0.436,0.436,0.5,0.25
-2.7133e-05,-2.7133e-05,1,0.44,0.44,0.5,0.25
-2.8978e-05,-2.8978e-05,1,0.444,0.444,0.5,0.25
-3.0823e-05,-3.0823e-05,1,0.448,0.448,0.5,0.25
-3.2668e-05,-3.2668e-05,1,0.452,0.452,0.5,0.25
-3.4513e-05,-3.4513e-05,1,0.456,0.456,0.5,0.25
-3.6358e-05,-3.6358e-05,1,0.46,0.46,0.5,0.25
-3.8203e-05,-3.8203e-05,1,0.464,0.464,0.5,0.25
-0.0001365,-0.0001365,1,0.468,0.468,0.5,0.25
-0.00013367,-0.00013367,1,0.472,0.472,0.5,0.25
-0.00013084,-0.00013084,1,0.476,0.476,0.5,0.25
-0.00012801,-0.00012801,1,0.48,0.48,0.5,0.25
-0.00012518,-0.00012518,1,0.484,0.484,0.5,0.25
-0.00012235,-0.00012235,1,0.488,0.488,0.5,0.25
-0.00011952,-0.00011952,1,0.492,0.492,0.5,0.25
-0.00011669,-0.00011669,1,0.496,0.496,0.5,0.25
-0.00011386,-0.00011386,1,0.5,0.5,0.5,0.25
-0.00011103,-0.00011103,1,0.504,0.504,0.5,0.25
-0.0001082,-0.0001082,1,0.508,0.508,0.5,0.25
-0.00010537,-0.00010537,1,0.512,0.512,0.5,0.25
-0.00010254,-0.00010254,1,0.516,0.516,0.5,0.25
-9.9712e-05,-9.9712e-05,1,0.52,0.52,0.5,0.25
-9.6882e-05,-9.6882e-05,1,0.524,0.524,0.5,0.25
-9.4052e-05,-9.4052e-05,1,0.528,0.528,0.5,0.25
-9.1223e-05,-9.1223e-05,1,0.532,0.532,0.5,0.25
-8.8392e-05,-8.8392e-05,1,0.536,0.536,0.5,0.25
-8.5563e-05,-8.5563e-05,1,0.54,0.54,0.5,0.25
-8.2733e-05,-8.2733e-05,1,0.544,0.544,0.5,0.25
-7.9903e-05,-7.9903e-05,1,0.548,0.548,0.5,0.25
-7.7073e-05,-7.7073e-05,1,0.552,0.552,0.5,0.25
-7.4243e-05,-7.4243e-05,1,0.556,0.556,0.5,0.25
-7.1413e-05,-7.1413e-05,1,0.56,0.56,0.5,0.25
-6.8583e-05,-6.8583e-05,1,0.564,0.564,0.5,0.25
-6.5754e-05,-6.5754e-05,1,0.568,0.568,0.5,0.25
-6.2924e-05,-6.2924e-05,1,0.572,0.572,0.5,0.25
-6.0093e-05,-6.0093e-05,1,0.576,0.576,0.5,0.25
-5.7264e-05,-5.7264e-05,1,0.58,0.58,0.5,0.25
-7.6172e-05,-7.6172e-05,1,0.584,0.584,0.5,0.25
-4.7486e-05,-4.7486e-05,1,0.588,0.588,0.5,0.25
-2.2126e-05,-2.2126e-05,1,0.592,0.592,0.5,0.25
3.2337e-06,3.2337e-06,1,0.596,0.596,0.5,0.25
2.8593e-05,2.8593e-05,1,0.6,0.6,0.5,0.25
3.765e-05,3.765e-05,1,0.604,0.604,0.5,0.25
8.1156e-05,8.1156e-05,1,0.608,0.608,0.5,0.25
0.00012466,0.00012466,1,0.612,0.612,0.5,0.25
0.00016817,0.00016817,1,0.616,0.616,0.5,0.25
0.00021167,0.00021167,1,0.62,0.62,0.5,0.25
0.00025518,0.00025518,1,0.624,0.624,0.5,0.25
0.00029869,0.00029869,1,0.628,0.628,0.5,0.25
0.00034219,0.00034219,1,0.632,0.632,0.5,0.25
0.0003857,0.0003857,1,0.636,0.636,0.5,0.25
0.0004292,0.0004292,1,0.64,0.64,0.5,0.25
0.000314,0.000314,1,0.644,0.644,0.5,0.25
0.0004251,0.0004251,1,0.648,0.648,0.5,0.25
-0.00062742,-0.00062742,1,0.652,0.652,0.5,0.25
-0.00033302,-0.00033302,1,0.656,0.656,0.5,0.25
-3.8572e-05,-3.8572e-05,1,0.66,0.66,0.5,0.25
0.00025582,0.00025582,1,0.664,0.664,0.5,0.25
0.00055021,0.00055021,1,0.668,0.668,0.5,0.25
0.00084461,0.00084461,1,0.672,0.672,0.5,0.25
0.0012982,0.0012982,1,0.676,0.676,0.5,0.25
0.0015708,0.0015708,1,0.68,0.68,0.5,0.25
0.0018434,0.0018434,1,0.684,0.684,0.5,0.25
0.002116,0.002116,1,0.688,0.688,0.5,0.25
0.0023885,0.0023885,1,0.692,0.692,0.5,0.25
0.0026611,0.0026611,1,0.696,0.696,0.5,0.25
0.0029337,0.0029337,1,0.7,0.7,0.5,0.25
0.0032063,0.0032063,1,0.704,0.704,0.5,0.25
0.0034788,0.0034788,1,0.708,0.708,0.5,0.25
0.0037514,0.0037514,1,0.712,0.712,0.5,0.25
0.004024,0.004024,1,0.716,0.716,0.5,0.25
0.0042966,0.0042966,1,0.72,0.72,0.5,0.25
0.0045691,0.0045691,1,0.724,0.724,0.5,0.25
0.0048417,0.0048417,1,0.728,0.728,0.5,0.25
0.0051143,0.0051143,1,0.732,0.732,0.5,0.25
0.0053868,0.0053868,1,0.736,0.736,0.5,0.25
0.0056594,0.0056594,1,0.74,0.74,0.5,0.25
0.005932,0.005932,1,0.744,0.744,0.5,0.25
0.0062046,0.0062046,1,0.748,0.748,0.5,0.25
0.0064772,0.0064772,1,0.752,0.752,0.5,0.25
0.0067497,0.0067497,1,0.756,0.756,0.5,0.25
0.0070223,0.0070223,1,0.76,0.76,0.5,0.25
0.0072949,0.0072949,1,0.764,0.764,0.5,0.25
0.0088143,0.0088143,1,0.768,0.768,0.5,0.25
0.009113,0.009113,1,0.772,0.772,0.5,0.25
0.0094118,0.0094118,1,0.776,0.776,0.5,0.25
0.0097105,0.0097105,1,0.78,0.78,0.5,0.25
0.010009,0.010009,1,0.784,0.784,0.5,0.25
0.010308,0.010308,1,0.788,0.788,0.5,0.25
0.010607,0.010607,1,0.792,0.792,0.5,0.25
0.010795,0.010795,1,0.796,0.796,0.5,0.25
0.011202,0.011202,1,0.8,0.8,0.5,0.25
0.012768,0.012768,1,0.804,0.804,0.5,0.25
0.013431,0.013431,1,0.808,0.808,0.5,0.25
0.014093,0.014093,1,0.812,0.812,0.5,0.25
0.014804,0.014804,1,0.816,0.816,0.5,0.25
0.015514,0.015514,1,0.82,0.82,0.5,0.25
0.016224,0.016224,1,0.824,0.824,0.5,0.25
0.016934,0.016934,1,0.828,0.828,0.5,0.25
0.017644,0.017644,1,0.832,0.832,0.5,0.25
0.017366,0.017366,1,0.836,0.836,0.5,0.25
0.01909,0.01909,1,0.84,0.84,0.5,0.25
0.020814,0.020814,1,0.844,0.844,0.5,0.25
0.022537,0.022537,1,0.848,0.848,0.5,0.25
0.014024,0.014024,1,0.852,0.852,0.5,0.25
0.016996,0.016996,1,0.856,0.856,0.5,0.25
0.019967,0.019967,1,0.86,0.86,0.5,0.25
0.022939,0.022939,1,0.864,0.864,0.5,0.25
0.025911,0.025911,1,0.868,0.868,0.5,0.25
0.028883,0.028883,1,0.872,0.872,0.5,0.25
0.031854,0.031854,1,0.876,0.876,0.5,0.25
0.034826,0.034826,1,0.88,0.88,0.5,0.25
0.028827,0.028827,1,0.884,0.884,0.5,0.25
0.032263,0.032263,1,0.888,0.888,0.5,0.25
0.035699,0.035699,1,0.892,0.892,0.5,0.25
0.039134,0.039134,1,0.896,0.896,0.5,0.25
0.04257,0.04257,1,0.9,0.9,0.5,0.25
0.046005,0.046005,1,0.904,0.904,0.5,0.25
0.049441,0.049441,1,0.908,0.908,0.5,0.25
0.052876,0.052876,1,0.912,0.912,0.5,0.25
0.056312,0.056312,1,0.916,0.916,0.5,0.25
0.059747,0.059747,1,0.92,0.92,0.5,0.25
0.063183,0.063183,1,0.924,0.924,0.5,0.25
0.066618,0.066618,1,0.928,0.928,0.5,0.25
0.070054,0.070054,1,0.932,0.932,0.5,0.25
0.073489,0.073489,1,0.936,0.936,0.5,0.25
0.076924,0.076924,1,0.94,0.94,0.5,0.25
0.08036,0.08036,1,0.944,0.944,0.5,0.25
0.083795,0.083795,1,0.948,0.948,0.5,0.25
0.087231,0.087231,1,0.952,0.952,0.5,0.25
0.090667,0.090667,1,0.956,0.956,0.5,0.25
0.094102,0.094102,1,0.96,0.96,0.5,0.25
0.097538,0.097538,1,0.964,0.964,0.5,0.25
0.096581,0.096581,1,0.968,0.968,0.5,0.25
0.10418,0.10418,1,0.972,0.972,0.5,0.25
0.11178,0.11178,1,0.976,0.976,0.5,0.25
0.11938,0.11938,1,0.98,0.98,0.5,0.25
0.12699,0.12699,1,0.984,0.984,0.5,0.25
0.13459,0.13459,1,0.988,0.988,0.5,0.25
0.14219,0.14219,1,0.992,0.992,0.5,0.25
0.14979,0.14979,1,0.996,0.996,0.5,0.25
0.15739,0.15739,1,1,1,0.5,0.25
0.16499,0.16499,1,1.004,1.004,0.5,0.25
0.17259,0.17259,1,1.008,1.008,0.5,0.25
0.17168,0.17168,1,1.012,1.012,0.5,0.25
0.18379,0.18379,1,1.016,1.016,0.5,0.25
0.1959,0.1959,1,1.02,1.02,0.5,0.25
0.208,0.208,1,1.024,1.024,0.5,0.25
0.22011,0.22011,1,1.028,1.028,0.5,0.25
0.23222,0.23222,1,1.032,1.032,0.5,0.25
0.24433,0.24433,1,1.036,1.036,0.5,0.25
0.25644,0.25644,1,1.04,1.04,0.5,0.25
0.26855,0.26855,1,1.044,1.044,0.5,0.25
0.28065,0.28065,1,1.048,1.048,0.5,0.25
0.29175,0.29175,1,1.052,1.052,0.5,0.25
0.30814,0.30814,1,1.056,1.056,0.5,0.25
0.32453,0.32453,1,1.06,1.06,0.5,0.25
0.34092,0.34092,1,1.064,1.064,0.5,0.25
0.35731,0.35731,1,1.068,1.068,0.5,0.25
0.37371,0.37371,1,1.072,1.072,0.5,0.25
0.3901,0.3901,1,1.076,1.076,0.5,0.25
0.40649,0.40649,1,1.08,1.08,0.5,0.25
0.38727,0.38727,1,1.084,1.084,0.5,0.25
0.42146,0.42146,1,1.088,1.088,0.5,0.25
0.45565,0.45565,1,1.092,1.092,0.5,0.25
0.48984,0.48984,1,1.096,1.096,0.5,0.25
0.52403,0.52403,1,1.1,1.1,0.5,0.25
0.55821,0.55821,1,1.104,1.104,0.5,0.25
0.5924,0.5924,1,1.108,1.108,0.5,0.25
0.62659,0.62659,1,1.112,1.112,0.5,0.25
0.66077,0.66077,1,1.116,1.116,0.5,0.25
0.69495,0.69495,1,1.12,1.12,0.5,0.25
